당신은 에어팟 수리 가능성을 계산하는 AI 입니다.
아래의 데이터를 참고해서 고객의 에어팟이 수리를 성공할 확률을 계산하십시오.

데이터:
Category,Scratch Position,Heating Time,Damage Type,Battery Efficiency (%),Success Probability (%)
C,하단,10~20초,스피커 파손,18,57.31
C,중단,5~10초,스피커 파손,10,61.03
C,상단,20~30초,정상,72,75.46
B,하단,20~30초,정상,28,75.59
A,상단,20~30초,하단 단자 손상,96,31.48
A,하단,10~20초,정상,12,79.7
B,하단,20~30초,하단 단자 손상,15,30.24
C,상단,20~30초,하단 단자 손상,11,28.65
A,상단,10~20초,칩 파손,5,0
D,상단,10~20초,스피커 파손,47,55.4
D,중단,20~30초,칩 파손,63,0
B,중단,20~30초,칩 파손,2,0
D,하단,5~10초,칩 파손,49,0
B,하단,5~10초,칩 파손,3,0
D,중단,10~20초,정상,42,79.62
D,중단,5~10초,정상,99,82.99
A,상단,20~30초,하단 단자 손상,0,29.88
D,중단,20~30초,스피커 파손,67,57.83
B,중단,20~30초,정상,8,78.84
A,중단,10~20초,칩 파손,66,0
C,중단,20~30초,스피커 파손,68,59.76
B,상단,5~10초,스피커 파손,88,60.96
A,중단,5~10초,칩 파손,31,0
A,하단,5~10초,정상,61,84
D,중단,10~20초,하단 단자 손상,67,31.85
D,하단,20~30초,칩 파손,39,0
A,상단,10~20초,칩 파손,67,0
D,상단,20~30초,칩 파손,94,0
B,상단,20~30초,칩 파손,43,0
B,하단,10~20초,스피커 파손,19,58.54
A,하단,5~10초,하단 단자 손상,91,34.3
D,하단,20~30초,정상,92,75.46
B,상단,5~10초,정상,67,79.62
A,중단,5~10초,하단 단자 손상,88,35.78
A,하단,20~30초,칩 파손,58,0
A,상단,5~10초,정상,55,81.29
B,상단,20~30초,스피커 파손,7,54.87
D,상단,20~30초,정상,26,69.3
B,하단,5~10초,칩 파손,37,0
D,상단,20~30초,정상,0,69.3
A,상단,20~30초,칩 파손,69,0
A,하단,20~30초,스피커 파손,80,61
D,중단,20~30초,스피커 파손,7,56.02
B,중단,10~20초,정상,62,84.04
B,상단,20~30초,하단 단자 손상,69,30.21
A,상단,10~20초,정상,71,81.28
B,상단,20~30초,하단 단자 손상,84,30.83
A,중단,5~10초,칩 파손,20,0
A,중단,5~10초,칩 파손,81,0
D,중단,5~10초,하단 단자 손상,35,31.5
D,중단,5~10초,정상,1,78.75
C,상단,5~10초,칩 파손,88,0
B,중단,5~10초,하단 단자 손상,8,33.25
A,중단,20~30초,칩 파손,25,0
B,하단,5~10초,하단 단자 손상,31,31.88
D,하단,10~20초,스피커 파손,100,58.44
A,하단,20~30초,칩 파손,60,0
A,상단,10~20초,스피커 파손,0,57.85
D,상단,10~20초,스피커 파손,11,53.67
D,중단,10~20초,칩 파손,0,0
A,하단,10~20초,스피커 파손,89,62.99
C,상단,10~20초,스피커 파손,70,58.44
D,상단,10~20초,정상,1,71.56
A,상단,20~30초,칩 파손,35,0
D,하단,5~10초,스피커 파손,78,59.67
D,하단,20~30초,정상,46,73.92
B,중단,10~20초,스피커 파손,56,63.03
B,상단,5~10초,하단 단자 손상,90,32.51
B,하단,5~10초,스피커 파손,62,61.7
C,하단,5~10초,하단 단자 손상,89,32.89
C,하단,10~20초,칩 파손,54,0
D,상단,20~30초,하단 단자 손상,96,29.21
A,하단,5~10초,스피커 파손,32,61.03
C,중단,10~20초,칩 파손,89,0
B,상단,20~30초,스피커 파손,23,54.87
C,상단,10~20초,칩 파손,94,0
B,상단,20~30초,정상,82,77.09
D,중단,10~20초,칩 파손,25,0
B,중단,10~20초,칩 파손,8,0
C,하단,20~30초,스피커 파손,51,57.29
D,중단,5~10초,칩 파손,24,0
B,하단,5~10초,스피커 파손,3,59.78
B,상단,20~30초,하단 단자 손상,29,29.26
B,중단,5~10초,스피커 파손,17,62.35
C,중단,20~30초,정상,75,81.33
C,하단,5~10초,스피커 파손,6,58.52
A,하단,5~10초,하단 단자 손상,58,33.6
C,하단,20~30초,정상,68,76.39
C,하단,20~30초,칩 파손,65,0
C,하단,5~10초,스피커 파손,66,60.4
B,중단,20~30초,칩 파손,90,0
C,중단,20~30초,스피커 파손,5,57.89
C,중단,10~20초,칩 파손,5,0
C,상단,20~30초,스피커 파손,41,55.44
D,중단,10~20초,하단 단자 손상,7,30.85
D,중단,20~30초,스피커 파손,28,56.02
B,상단,20~30초,스피커 파손,97,57.82
B,하단,10~20초,칩 파손,38,0
A,하단,20~30초,칩 파손,88,0
A,중단,5~10초,정상,29,84.88
A,중단,5~10초,하단 단자 손상,88,35.78
A,상단,20~30초,스피커 파손,26,56.02
B,하단,5~10초,칩 파손,61,0
A,상단,20~30초,하단 단자 손상,84,31.48
D,중단,20~30초,스피커 파손,28,56.02
C,중단,20~30초,정상,56,79.67
D,중단,20~30초,스피커 파손,46,57.83
D,중단,5~10초,하단 단자 손상,53,32.52
B,하단,5~10초,하단 단자 손상,67,32.91
C,하단,5~10초,칩 파손,18,0
D,중단,5~10초,스피커 파손,94,62.24
D,중단,5~10초,하단 단자 손상,12,31.5
B,중단,20~30초,칩 파손,51,0
A,상단,10~20초,하단 단자 손상,83,32.51
B,중단,5~10초,스피커 파손,10,62.35
D,하단,10~20초,하단 단자 손상,94,31.17
B,상단,20~30초,하단 단자 손상,64,30.21
D,중단,10~20초,하단 단자 손상,85,32.51
D,상단,20~30초,하단 단자 손상,55,28.62
C,상단,20~30초,칩 파손,46,0
A,하단,20~30초,정상,98,81.33
D,하단,20~30초,하단 단자 손상,34,28.65
B,중단,5~10초,칩 파손,13,0
A,하단,10~20초,하단 단자 손상,73,33.59
D,하단,10~20초,칩 파손,47,0
B,중단,5~10초,하단 단자 손상,5,33.25
D,중단,10~20초,정상,75,81.28
A,하단,20~30초,정상,58,79.67
D,하단,10~20초,스피커 파손,30,55.46
B,하단,20~30초,칩 파손,90,0
B,상단,20~30초,하단 단자 손상,52,30.21
D,상단,20~30초,하단 단자 손상,65,28.62
C,하단,10~20초,정상,41,78.88
A,중단,10~20초,칩 파손,45,0
A,상단,5~10초,정상,26,78.75
A,하단,20~30초,칩 파손,20,0
C,하단,10~20초,칩 파손,100,0
B,하단,10~20초,하단 단자 손상,21,31.22
A,하단,10~20초,하단 단자 손상,17,31.88
B,상단,20~30초,하단 단자 손상,45,30.21
A,상단,10~20초,하단 단자 손상,31,30.85
D,하단,10~20초,스피커 파손,68,57.25
B,하단,10~20초,하단 단자 손상,64,32.23
A,하단,10~20초,칩 파손,3,0
C,하단,10~20초,칩 파손,9,0
A,하단,5~10초,정상,17,81.38
A,하단,5~10초,칩 파손,66,0
D,중단,20~30초,스피커 파손,37,56.02
D,중단,5~10초,정상,72,82.99
C,중단,5~10초,칩 파손,9,0
D,상단,10~20초,정상,40,73.87
C,상단,10~20초,하단 단자 손상,58,30.53
A,하단,10~20초,하단 단자 손상,92,33.59
B,중단,20~30초,하단 단자 손상,63,32.55
D,상단,5~10초,정상,26,73.07
A,하단,5~10초,칩 파손,28,0
D,하단,20~30초,칩 파손,27,0
C,하단,20~30초,스피커 파손,60,57.29
B,하단,5~10초,정상,27,79.7
C,하단,5~10초,칩 파손,86,0
D,상단,5~10초,하단 단자 손상,0,29.23
A,하단,10~20초,칩 파손,57,0
A,중단,10~20초,칩 파손,37,0
B,중단,10~20초,스피커 파손,11,61.06
B,중단,10~20초,하단 단자 손상,43,33.62
D,하단,10~20초,하단 단자 손상,97,31.17
C,하단,5~10초,칩 파손,0,0
A,상단,10~20초,정상,77,81.28
C,상단,20~30초,정상,38,71.61
A,하단,20~30초,스피커 파손,47,59.76
A,중단,20~30초,칩 파손,47,0
C,중단,20~30초,하단 단자 손상,33,30.87
D,하단,10~20초,하단 단자 손상,85,31.17
B,중단,10~20초,칩 파손,53,0
A,중단,20~30초,정상,56,83.1
A,하단,5~10초,스피커 파손,14,61.03
D,중단,5~10초,칩 파손,69,0
A,상단,5~10초,정상,84,82.99
D,상단,5~10초,스피커 파손,20,54.8
A,하단,5~10초,하단 단자 손상,83,34.3
D,상단,5~10초,하단 단자 손상,96,30.8
C,중단,20~30초,정상,11,77.18
C,하단,5~10초,하단 단자 손상,61,32.22
B,하단,20~30초,스피커 파손,87,59.74
C,중단,5~10초,정상,47,84
A,상단,5~10초,칩 파손,54,0
D,하단,10~20초,스피커 파손,21,55.46
D,중단,20~30초,칩 파손,78,0
C,하단,10~20초,칩 파손,99,0
C,하단,20~30초,하단 단자 손상,34,29.6
A,하단,10~20초,칩 파손,44,0
D,상단,5~10초,하단 단자 손상,98,30.8
B,상단,10~20초,하단 단자 손상,98,31.84
A,하단,5~10초,칩 파손,52,0
B,상단,20~30초,칩 파손,71,0
C,중단,5~10초,스피커 파손,71,64.32
B,상단,10~20초,스피커 파손,41,58.48
C,중단,10~20초,스피커 파손,58,61.7
A,상단,20~30초,스피커 파손,94,59.03
D,상단,5~10초,하단 단자 손상,74,30.8
D,하단,20~30초,하단 단자 손상,4,28.65
C,상단,20~30초,하단 단자 손상,32,28.65
D,중단,10~20초,칩 파손,55,0
C,하단,10~20초,스피커 파손,85,60.39
D,중단,10~20초,하단 단자 손상,45,31.85
A,상단,10~20초,하단 단자 손상,24,30.85
D,하단,20~30초,정상,20,71.61
C,상단,20~30초,하단 단자 손상,88,30.19
A,중단,10~20초,칩 파손,18,0
A,하단,20~30초,정상,34,77.18
B,하단,20~30초,스피커 파손,80,59.74
D,상단,10~20초,칩 파손,1,0
B,상단,10~20초,스피커 파손,92,59.7
B,하단,10~20초,정상,80,82.25
D,중단,20~30초,정상,4,74.69
C,상단,5~10초,하단 단자 손상,92,31.83
D,상단,20~30초,칩 파손,30,0
A,중단,5~10초,정상,47,87.62
A,중단,20~30초,정상,65,83.1
C,중단,5~10초,하단 단자 손상,20,32.55
C,하단,10~20초,하단 단자 손상,53,31.55
D,하단,20~30초,칩 파손,84,0
D,하단,20~30초,정상,8,71.61
B,중단,10~20초,정상,66,84.04
C,하단,5~10초,정상,47,80.54
D,하단,20~30초,스피커 파손,72,56.6
B,중단,5~10초,스피커 파손,90,65.7
C,하단,5~10초,정상,90,82.22
D,상단,10~20초,정상,68,73.87
D,하단,5~10초,하단 단자 손상,78,31.83
D,중단,20~30초,스피커 파손,25,56.02
C,하단,10~20초,하단 단자 손상,78,32.21
C,하단,20~30초,칩 파손,93,0
C,상단,10~20초,스피커 파손,31,55.46
D,하단,5~10초,칩 파손,45,0
C,중단,10~20초,하단 단자 손상,89,33.59
B,하단,5~10초,정상,1,79.7
B,중단,10~20초,칩 파손,18,0
A,하단,5~10초,하단 단자 손상,99,34.3
C,하단,5~10초,스피커 파손,95,61.66
A,중단,10~20초,스피커 파손,2,62.35
A,중단,20~30초,하단 단자 손상,86,33.93
C,상단,5~10초,하단 단자 손상,10,30.2
C,하단,20~30초,하단 단자 손상,72,31.19
D,상단,10~20초,스피커 파손,39,53.67
D,상단,20~30초,정상,35,69.3
A,하단,5~10초,칩 파손,70,0
D,상단,20~30초,칩 파손,72,0
D,상단,20~30초,칩 파손,76,0
B,상단,20~30초,칩 파손,9,0
D,중단,10~20초,스피커 파손,83,60.96
A,상단,20~30초,칩 파손,56,0
D,중단,5~10초,칩 파손,26,0
C,상단,20~30초,하단 단자 손상,99,30.19
A,상단,5~10초,스피커 파손,81,62.24
D,하단,10~20초,스피커 파손,82,58.44
B,상단,5~10초,스피커 파손,72,60.96
B,중단,10~20초,하단 단자 손상,44,33.62
C,하단,10~20초,하단 단자 손상,73,32.21
D,상단,20~30초,하단 단자 손상,25,27.72
A,상단,5~10초,칩 파손,14,0
B,상단,5~10초,정상,2,77.13
A,중단,10~20초,스피커 파손,86,65.7
C,상단,10~20초,칩 파손,35,0
D,중단,20~30초,하단 단자 손상,14,29.88
C,상단,10~20초,칩 파손,32,0
A,상단,20~30초,스피커 파손,11,56.02
A,하단,5~10초,스피커 파손,36,61.03
C,중단,5~10초,스피커 파손,85,64.32
B,상단,5~10초,하단 단자 손상,37,30.85
B,중단,5~10초,칩 파손,16,0
B,중단,5~10초,하단 단자 손상,93,35.04
D,중단,10~20초,하단 단자 손상,86,32.51
C,하단,10~20초,칩 파손,9,0
B,중단,20~30초,칩 파손,1,0
B,상단,5~10초,스피커 파손,81,60.96
A,중단,5~10초,스피커 파손,28,63.66
D,상단,5~10초,스피커 파손,95,57.75
C,하단,5~10초,하단 단자 손상,38,31.21
A,상단,20~30초,정상,8,74.69
D,상단,5~10초,정상,14,73.07
B,하단,5~10초,칩 파손,38,0
D,상단,10~20초,정상,25,71.56
A,하단,10~20초,정상,98,83.99
D,상단,20~30초,정상,34,69.3
C,중단,20~30초,칩 파손,64,0
D,중단,5~10초,스피커 파손,96,62.24
A,중단,10~20초,하단 단자 손상,60,34.32
B,상단,20~30초,정상,85,77.09
A,중단,5~10초,칩 파손,20,0
B,중단,20~30초,정상,95,83.08
C,하단,20~30초,정상,86,77.98
B,하단,5~10초,정상,68,82.27
C,상단,5~10초,정상,98,79.57
C,중단,5~10초,칩 파손,41,0
A,상단,10~20초,칩 파손,23,0
B,하단,5~10초,하단 단자 손상,60,32.91
A,중단,10~20초,스피커 파손,63,64.36
A,중단,5~10초,정상,26,84.88
D,하단,20~30초,칩 파손,31,0
B,중단,10~20초,하단 단자 손상,22,32.57
D,상단,20~30초,정상,21,69.3
C,하단,20~30초,스피커 파손,68,57.29
C,상단,5~10초,칩 파손,16,0
A,하단,5~10초,하단 단자 손상,12,32.55
A,하단,5~10초,정상,59,84
C,하단,20~30초,정상,49,76.39
B,중단,20~30초,하단 단자 손상,70,33.23
C,하단,10~20초,정상,22,76.41
A,상단,10~20초,하단 단자 손상,52,31.85
B,하단,20~30초,하단 단자 손상,75,31.86
C,중단,5~10초,정상,90,85.75
A,상단,10~20초,정상,24,77.13
C,하단,20~30초,정상,43,76.39
C,상단,10~20초,칩 파손,47,0
A,상단,20~30초,정상,16,74.69
A,중단,5~10초,정상,1,84.88
A,하단,10~20초,칩 파손,46,0
D,상단,10~20초,칩 파손,84,0
B,중단,20~30초,하단 단자 손상,63,32.55
A,상단,20~30초,칩 파손,95,0
B,하단,20~30초,칩 파손,18,0
C,중단,5~10초,칩 파손,57,0
A,하단,5~10초,스피커 파손,71,64.32
C,하단,5~10초,정상,9,78.02
A,중단,20~30초,칩 파손,76,0
D,상단,20~30초,하단 단자 손상,1,27.72
C,중단,20~30초,스피커 파손,55,59.76
A,하단,10~20초,하단 단자 손상,57,32.91
C,중단,10~20초,정상,39,79.7
A,상단,5~10초,정상,66,81.29
A,하단,20~30초,칩 파손,53,0
D,중단,20~30초,칩 파손,92,0
C,중단,5~10초,정상,40,84
A,상단,5~10초,하단 단자 손상,15,31.5
D,상단,5~10초,스피커 파손,89,57.75
B,중단,5~10초,칩 파손,62,0
A,하단,5~10초,하단 단자 손상,51,33.6
B,하단,5~10초,하단 단자 손상,6,31.88
A,하단,20~30초,스피커 파손,6,57.89
B,하단,20~30초,스피커 파손,30,56.69
B,상단,10~20초,칩 파손,54,0
C,상단,10~20초,스피커 파손,81,58.44
C,하단,10~20초,하단 단자 손상,18,30.57
A,중단,5~10초,스피커 파손,51,65.71
D,상단,20~30초,정상,86,73.03
C,하단,10~20초,스피커 파손,33,57.31
C,중단,20~30초,칩 파손,26,0
B,중단,20~30초,스피커 파손,13,59.13
A,상단,5~10초,정상,9,78.75
B,중단,5~10초,스피커 파손,55,64.36
A,중단,5~10초,하단 단자 손상,61,35.05
D,중단,10~20초,칩 파손,79,0
C,중단,5~10초,스피커 파손,5,61.03
B,중단,10~20초,스피커 파손,81,64.34
D,하단,5~10초,스피커 파손,96,59.67
B,하단,5~10초,칩 파손,15,0
B,상단,20~30초,정상,36,73.15
D,하단,10~20초,정상,56,76.33
C,중단,10~20초,정상,14,79.7
D,중단,5~10초,스피커 파손,38,59.06
C,중단,10~20초,정상,50,82.27
A,상단,10~20초,스피커 파손,2,57.85
C,상단,5~10초,정상,6,75.51
B,상단,20~30초,스피커 파손,29,54.87
A,상단,5~10초,스피커 파손,94,62.24
B,중단,20~30초,칩 파손,17,0
C,상단,10~20초,칩 파손,24,0
B,중단,20~30초,스피커 파손,91,62.31
D,상단,5~10초,스피커 파손,18,54.8
C,상단,20~30초,칩 파손,31,0
B,중단,5~10초,하단 단자 손상,82,35.04
B,상단,10~20초,정상,27,75.54
D,상단,5~10초,하단 단자 손상,37,29.23
A,하단,20~30초,칩 파손,22,0
D,상단,20~30초,정상,65,71.54
B,하단,5~10초,스피커 파손,13,59.78
B,상단,20~30초,정상,72,77.09
A,상단,10~20초,정상,78,81.28
B,하단,10~20초,칩 파손,31,0
C,하단,10~20초,스피커 파손,55,59.16
C,상단,5~10초,스피커 파손,79,59.67
D,하단,5~10초,하단 단자 손상,79,31.83
C,중단,10~20초,스피커 파손,84,62.99
C,중단,20~30초,정상,3,77.18
B,중단,10~20초,하단 단자 손상,7,32.57
B,중단,5~10초,칩 파손,57,0
A,하단,10~20초,정상,56,82.27
C,상단,10~20초,하단 단자 손상,21,29.58
D,하단,20~30초,정상,19,71.61
D,상단,5~10초,정상,75,77
C,상단,5~10초,칩 파손,89,0
C,상단,5~10초,칩 파손,14,0
D,중단,10~20초,스피커 파손,4,57.85
B,하단,5~10초,하단 단자 손상,64,32.91
A,하단,20~30초,정상,57,79.67
D,상단,10~20초,칩 파손,27,0
B,중단,10~20초,칩 파손,44,0
D,하단,20~30초,칩 파손,51,0
C,상단,5~10초,하단 단자 손상,45,31.18
A,중단,10~20초,하단 단자 손상,32,33.25
D,상단,10~20초,스피커 파손,16,53.67
C,중단,10~20초,칩 파손,11,0
B,상단,10~20초,하단 단자 손상,42,31.19
A,상단,20~30초,정상,12,74.69
A,상단,5~10초,칩 파손,96,0
C,상단,10~20초,하단 단자 손상,17,29.58
A,하단,5~10초,하단 단자 손상,83,34.3
A,상단,5~10초,정상,72,82.99
D,상단,10~20초,스피커 파손,54,55.4
B,중단,10~20초,하단 단자 손상,19,32.57
B,중단,10~20초,정상,46,84.04
A,상단,10~20초,스피커 파손,97,60.96
B,하단,10~20초,스피커 파손,66,60.43
C,상단,20~30초,스피커 파손,62,55.44
B,중단,10~20초,칩 파손,11,0
C,상단,10~20초,스피커 파손,4,55.46
C,상단,20~30초,스피커 파손,36,53.71
D,중단,10~20초,스피커 파손,58,59.71
B,중단,5~10초,하단 단자 손상,86,35.04
C,하단,20~30초,스피커 파손,11,55.5
D,상단,5~10초,스피커 파손,47,56.57
